data;valor
05/10/2019;170.86
05/09/2019;172.25
05/08/2019;170.95
05/07/2019;174.60
05/06/2019;170.54
05/03/2019;169.43
05/02/2019;173.25
05/01/2019;171.74
04/30/2019;171.47
04/29/2019;171.66
04/26/2019;174.05
04/25/2019;175.36
04/24/2019;174.61
04/23/2019;167.73
04/22/2019;169.52
04/19/2019;170.31
04/18/2019;170.31
04/17/2019;169.75
04/16/2019;166.69
04/15/2019;167.46
04/12/2019;169.46
04/11/2019;169.40
04/10/2019;166.78
04/09/2019;168.77
04/08/2019;169.58
04/05/2019;169.85
04/04/2019;171.05
04/03/2019;168.97
04/02/2019;168.29
04/01/2019;167.97
03/29/2019;174.53
03/28/2019;179.71
03/27/2019;184.74
03/26/2019;171.12
03/25/2019;173.69
03/22/2019;177.23
03/21/2019;161.98
03/20/2019;161.03
03/19/2019;148.22
03/18/2019;152.41
03/15/2019;154.56
03/14/2019;154.93
03/13/2019;154.37
03/12/2019;155.21
03/11/2019;154.87
03/08/2019;163.50
03/07/2019;165.00
03/06/2019;162.60
03/05/2019;160.91
03/04/2019;157.15
03/01/2019;156.43
02/28/2019;153.35
02/27/2019;152.84
02/26/2019;156.00
02/25/2019;158.05
02/22/2019;161.42
02/21/2019;164.94
02/20/2019;163.18
02/19/2019;161.89
02/18/2019;161.88
02/15/2019;161.88
02/14/2019;165.43
02/13/2019;168.67
02/12/2019;168.25
02/11/2019;172.89
02/08/2019;171.21
02/07/2019;167.41
02/06/2019;163.82
02/05/2019;160.27
02/04/2019;164.15
02/01/2019;164.78
01/31/2019;164.10
01/30/2019;167.68
01/29/2019;169.49
01/28/2019;171.01
01/25/2019;169.73
01/24/2019;170.53
01/23/2019;171.79
01/22/2019;175.17
01/21/2019;170.87
01/18/2019;170.87
01/17/2019;178.85
01/16/2019;180.19
01/15/2019;181.75
01/14/2019;182.36
01/11/2019;182.30
01/10/2019;180.94
01/09/2019;177.94
01/08/2019;182.72
01/07/2019;183.15
01/04/2019;188.87
01/03/2019;198.61
01/02/2019;201.29
01/01/2019;205.34
12/31/2018;205.34
12/28/2018;206.74
12/27/2018;209.91
12/26/2018;212.51
12/25/2018;210.78
12/24/2018;210.79
12/21/2018;207.52
12/20/2018;204.74
12/19/2018;197.33
12/18/2018;194.90
12/17/2018;195.17
12/14/2018;196.59
12/13/2018;196.61
12/12/2018;202.87
12/11/2018;204.84
12/10/2018;207.14
12/07/2018;206.15
12/06/2018;209.36
12/05/2018;206.92
12/04/2018;219.62
12/03/2018;205.53
11/30/2018;207.46
11/29/2018;207.44
11/28/2018;207.93
11/27/2018;219.62
11/26/2018;217.22
11/23/2018;213.77
11/22/2018;211.36
11/21/2018;211.38
11/20/2018;213.34
11/19/2018;204.98
11/16/2018;203.98
11/15/2018;205.49
11/14/2018;205.68
11/13/2018;204.69
11/12/2018;197.93
11/09/2018;197.78
11/08/2018;198.00
11/07/2018;192.62
11/06/2018;193.59
11/05/2018;193.07
11/02/2018;195.08
11/01/2018;197.92
10/31/2018;201.42
10/30/2018;203.35
10/29/2018;208.67
10/26/2018;206.61
10/25/2018;208.17
10/24/2018;211.40
10/23/2018;208.05
10/22/2018;208.09
10/19/2018;212.00
10/18/2018;217.57
10/17/2018;207.81
10/16/2018;210.21
10/15/2018;221.34
10/12/2018;221.82
10/11/2018;225.19
10/10/2018;229.56
10/09/2018;218.46
10/08/2018;231.71
10/05/2018;241.93
10/04/2018;243.41
10/03/2018;239.95
10/02/2018;249.82
10/01/2018;261.53
09/28/2018;255.11
09/27/2018;253.52
09/26/2018;256.40
09/25/2018;264.23
09/24/2018;265.18
09/21/2018;257.10
09/20/2018;270.03
09/19/2018;274.29
09/18/2018;276.29
09/17/2018;276.67
09/14/2018;281.13
09/13/2018;277.13
09/12/2018;276.60
09/11/2018;283.99
09/10/2018;275.62
09/07/2018;275.25
09/06/2018;275.58
09/05/2018;287.35
09/04/2018;304.92
09/03/2018;298.99
08/31/2018;298.97
08/30/2018;296.03
08/29/2018;287.29
08/28/2018;285.86
08/27/2018;278.53
08/24/2018;278.93
08/23/2018;275.51
08/22/2018;263.23
08/21/2018;251.20
08/20/2018;241.82
08/17/2018;236.57
08/16/2018;232.17
