data_coleta,variavel,mediana
2025-05-26,IPCA_corrente,4.5204
2025-05-27,IPCA_corrente,4.5204
2025-05-28,IPCA_corrente,4.5204
2025-05-29,IPCA_corrente,4.5242
2025-05-30,IPCA_corrente,4.5
2025-06-02,IPCA_corrente,4.476
2025-06-03,IPCA_corrente,4.4889
2025-06-04,IPCA_corrente,4.5
2025-06-05,IPCA_corrente,4.5
2025-06-06,IPCA_corrente,4.5
2025-06-09,IPCA_corrente,4.5
2025-06-10,IPCA_corrente,4.5
2025-06-11,IPCA_corrente,4.5
2025-06-12,IPCA_corrente,4.5
2025-06-13,IPCA_corrente,4.5
2025-06-16,IPCA_corrente,4.5
2025-06-17,IPCA_corrente,4.51
2025-06-18,IPCA_corrente,4.51
2025-06-20,IPCA_corrente,4.52
2025-06-23,IPCA_corrente,4.5
2025-06-24,IPCA_corrente,4.5
2025-06-25,IPCA_corrente,4.5
2025-06-26,IPCA_corrente,4.5
2025-06-27,IPCA_corrente,4.4897
2025-06-30,IPCA_corrente,4.4859
2025-07-01,IPCA_corrente,4.4801
2025-07-02,IPCA_corrente,4.4676
2025-07-03,IPCA_corrente,4.4821
2025-07-04,IPCA_corrente,4.472
2025-07-07,IPCA_corrente,4.472
2025-07-08,IPCA_corrente,4.4683
2025-07-09,IPCA_corrente,4.4779
2025-07-10,IPCA_corrente,4.472
2025-07-11,IPCA_corrente,4.485
2025-07-14,IPCA_corrente,4.5
2025-07-15,IPCA_corrente,4.5
2025-07-16,IPCA_corrente,4.4987
2025-07-17,IPCA_corrente,4.4993
2025-07-18,IPCA_corrente,4.4465
2025-07-21,IPCA_corrente,4.4465
2025-07-22,IPCA_corrente,4.4465
2025-07-23,IPCA_corrente,4.4465
2025-07-24,IPCA_corrente,4.4103
2025-07-25,IPCA_corrente,4.4467
2025-07-28,IPCA_corrente,4.4465
2025-07-29,IPCA_corrente,4.4465
2025-07-30,IPCA_corrente,4.4467
2025-07-31,IPCA_corrente,4.4573
2025-08-01,IPCA_corrente,4.3938
2025-08-04,IPCA_corrente,4.43
2025-08-05,IPCA_corrente,4.4383
2025-08-06,IPCA_corrente,4.43
2025-08-07,IPCA_corrente,4.42
2025-08-08,IPCA_corrente,4.3536
2025-08-11,IPCA_corrente,4.34
2025-08-12,IPCA_corrente,4.3531
2025-08-13,IPCA_corrente,4.3846
2025-08-14,IPCA_corrente,4.3536
2025-08-15,IPCA_corrente,4.4
2025-08-18,IPCA_corrente,4.405
2025-08-19,IPCA_corrente,4.4
2025-08-20,IPCA_corrente,4.4147
2025-08-21,IPCA_corrente,4.4074
2025-08-22,IPCA_corrente,4.3201
2025-08-25,IPCA_corrente,4.3
2025-08-26,IPCA_corrente,4.3019
2025-08-27,IPCA_corrente,4.3
2025-08-28,IPCA_corrente,4.3
2025-08-29,IPCA_corrente,4.23
2025-09-01,IPCA_corrente,4.25
2025-09-02,IPCA_corrente,4.2383
2025-09-03,IPCA_corrente,4.25
2025-09-04,IPCA_corrente,4.2792
2025-09-05,IPCA_corrente,4.2792
2025-09-08,IPCA_corrente,4.2851
2025-09-09,IPCA_corrente,4.2851
2025-09-10,IPCA_corrente,4.2851
2025-09-11,IPCA_corrente,4.3
2025-09-12,IPCA_corrente,4.3
2025-09-15,IPCA_corrente,4.3
2025-09-16,IPCA_corrente,4.3
2025-09-17,IPCA_corrente,4.3
2025-09-18,IPCA_corrente,4.3
2025-09-19,IPCA_corrente,4.2705
2025-09-22,IPCA_corrente,4.2749
2025-09-23,IPCA_corrente,4.2703
2025-09-24,IPCA_corrente,4.2749
2025-09-25,IPCA_corrente,4.265
2025-09-26,IPCA_corrente,4.2648
2025-09-29,IPCA_corrente,4.276
2025-09-30,IPCA_corrente,4.2806
2025-10-01,IPCA_corrente,4.2707
2025-10-02,IPCA_corrente,4.2654
2025-10-03,IPCA_corrente,4.3
2025-10-06,IPCA_corrente,4.2713
2025-10-07,IPCA_corrente,4.2796
2025-10-08,IPCA_corrente,4.2792
2025-10-09,IPCA_corrente,4.26
2025-10-10,IPCA_corrente,4.2043
2025-10-13,IPCA_corrente,4.2383
2025-10-14,IPCA_corrente,4.23
2025-10-15,IPCA_corrente,4.2383
2025-10-16,IPCA_corrente,4.24
2025-10-17,IPCA_corrente,4.2751
2025-10-20,IPCA_corrente,4.2348
2025-10-21,IPCA_corrente,4.225
2025-10-22,IPCA_corrente,4.225
2025-10-23,IPCA_corrente,4.24
2025-10-24,IPCA_corrente,4.2
2025-10-27,IPCA_corrente,4.2
2025-10-28,IPCA_corrente,4.2
2025-10-29,IPCA_corrente,4.2
2025-10-30,IPCA_corrente,4.2
2025-10-31,IPCA_corrente,4.1975
2025-11-03,IPCA_corrente,4.1975
2025-11-04,IPCA_corrente,4.1988
2025-11-05,IPCA_corrente,4.2
2025-11-06,IPCA_corrente,4.2
2025-11-07,IPCA_corrente,4.2
2025-11-10,IPCA_corrente,4.2
2025-11-11,IPCA_corrente,4.2
2025-11-12,IPCA_corrente,4.1977
2025-11-13,IPCA_corrente,4.1989
2025-11-14,IPCA_corrente,4.1889
2025-11-17,IPCA_corrente,4.1779
2025-11-18,IPCA_corrente,4.1711
2025-11-19,IPCA_corrente,4.1663
2025-11-21,IPCA_corrente,4.1663
2025-11-24,IPCA_corrente,4.167
2025-11-25,IPCA_corrente,4.167
2025-11-26,IPCA_corrente,4.1697
2025-11-27,IPCA_corrente,4.167
